"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"10uF";"C-KER_1206";"1206";"Kondenzator - keramicky";"";"";"";"";
"C2";"10uF";"C-KER_1206";"1206";"Kondenzator - keramicky";"";"";"";"";
"C3";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C4";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C5";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C6";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"IC1";"TS1117";"REG1117";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";"REG1117";"1097566";"14P6981";
"IC2";"MEGA32-A";"MEGA32-A";"TQFP44";"MICROCONTROLLER";"";"ATMEGA32-16AU";"9171274";"69K6677";
"IC3";"MEGA8-AI";"MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";"ATMEGA8-16AU";"9171371";"73M8863";
"IC6";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";"";"";"";
"J1";"";"VG32SP";"VG32P";"PCB EUROCARD, 32-pin type C/AC, 5.08 mm";"";"";"";"";
"JUM1";"S1G3_JUMP";"S1G3_JUMP";"S1G3_JUM";"Radove konektory - koliky - 3x";"";"";"";"";
"JUM2";"S1G2_JUMP";"S1G2_JUMP";"S1G2_JUM";"Radove konektory - koliky - 2x";"";"";"";"";
"JUM3";"S1G4_JUMP";"S1G4_JUMP";"S1G4_JUM";"Radove konektory - koliky - 4x";"";"";"";"";
"LED1";"L-3P90-GREEN";"L-3P90-GREEN";"L-3P90";"";"";"";"";"";
"LED2";"L-3P90-YELLOW";"L-3P90-YELLOW";"L-3P90";"";"";"";"";"";
"LED3";"F1345PLD2-3B";"F1345PLD2-3B";"F1345PLD2-3B";"";"";"";"";"";
"LED4";"F1345PLD2-3B";"F1345PLD2-3B";"F1345PLD2-3B";"";"";"";"";"";
"Q1";"BSS138";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"Q2";"14.7456";"XTAL";"HC49U70";"";"";"";"";"";
"Q3";"BSS138";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"Q4";"14.7456";"XTAL";"HC49U70";"";"";"";"";"";
"Q5";"BSS138";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"Q6";"BSS138";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"Q7";"BSS138";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"Q8";"BSS138";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"Q9";"BSS138";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"R1";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R2";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R3";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R4";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R5";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R6";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R7";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R8";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R9";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R10";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";
"R13";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R16";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R17";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R18";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R19";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R20";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R21";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R22";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R23";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R24";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R25";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R26";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R27";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"R28";"10k";"R_1206";"1206";"Rezistor";"";"";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";
"U1";"ATPROG-V";"ATPROG-V";"6410-06";"";"";"";"";"";
